tweet,favs,retweets,id,date,media_url
https://t.co/k2nd8zntIB,8765,415,1447124133905670147,2021-10-10 08:57:34+00:00,['http://pbs.twimg.com/media/FBU3uxFX0AMRVzI.jpg']
Ein tief gespaltenes Land https://t.co/FnACeao2XU,5676,82,1447112475464413185,2021-10-10 08:11:14+00:00,['http://pbs.twimg.com/media/FBUtIKfXsAIi-RU.jpg']
https://t.co/eVoEZiZIJk,2810,93,1437100695979692036,2021-09-12 17:08:00+00:00,['http://pbs.twimg.com/media/E_GbdY4XEAIwoHo.jpg']
"Das könnte halt unironisch irgendeine Family guy Szene sein wo peter griffin sagt ""das ist ja noch schlimmer als damals als ich fallschirmspringer bei Greenpeace war"" https://t.co/1N2Bj5xbuX",2456,182,1404931291577991173,2021-06-15 22:38:16+00:00,[]
Deutsche One Piece https://t.co/CGfbk2Jnu8,2398,171,1418510967860826116,2021-07-23 09:59:04+00:00,['http://pbs.twimg.com/media/E6-QM7sXsAEcZ48.jpg']
https://t.co/nn3yMPcNeR,2374,65,1444755661364109317,2021-10-03 20:06:06+00:00,['http://pbs.twimg.com/media/FAzNnfNXoAUk-xM.jpg']
Dieses Whiteboard hat mich gestern komplett aus dem Leben gebombt hdddiekdkekejejeb https://t.co/Bjry1euw7L,2049,77,1443819704938897408,2021-10-01 06:06:57+00:00,['http://pbs.twimg.com/media/FAl6Xj9XsAEY580.jpg']
??? https://t.co/FYJ7xQHfUI,2012,25,1423356142533627912,2021-08-05 18:52:03+00:00,['http://pbs.twimg.com/media/E8DG3eqXoAU25nK.jpg']
"Mein Sohn (5) gerade: ""Joshua Kimmich hat mit seiner Nicht-Impfung das Vertrauen der Bayern ineinander erschüttert, weil sie nicht bereit sind, sich gegenseitig zu schützen. Ergo der frühe Rückstand in Gladbach"". 

Er ist schon so viel weiter als viele Erwachsene! #BMGFCB",1928,60,1453437555828051969,2021-10-27 19:04:51+00:00,[]
??? https://t.co/viYq7BfWe9,1723,49,1433550384576950276,2021-09-02 22:00:20+00:00,['http://pbs.twimg.com/media/E-T-eglVcAUYsXT.jpg']
"Äußern Sie sich bitte zu der Frauenfeindlichkeit

Ich bin dominant aber frauenfeindlich nein https://t.co/9Qr8dt4Dqm",1714,92,1451222468363014152,2021-10-21 16:22:53+00:00,"['http://pbs.twimg.com/media/FCPHI-VXIAAI7ql.jpg', 'http://pbs.twimg.com/media/FCPHJFsXIAQQX9H.jpg']"
https://t.co/jkDRzbxzQJ,1674,45,1439841070758744064,2021-09-20 06:37:16+00:00,['http://pbs.twimg.com/media/E_tXm0WXoAIq2vx.jpg']
Reminder dass die Pizzeria nebenan unnötig von Lieferapps geknechtet wird nur weil du Angst hast zu stottern wenn du die Pizza per Telefon bestellst,1645,99,1439629674695495681,2021-09-19 16:37:16+00:00,[]
https://t.co/tIBiHjbBii,1623,54,1415802280524324865,2021-07-15 22:35:42+00:00,['http://pbs.twimg.com/media/E6XwquKXMBAmNxm.jpg']
Insta so inspirierend willst du 1 Liter Vodka trinken und dann kotzen oder willst du 9 Burger essen und dann kotzen oder willst du 1L Eis essen und dann kotzen bitte denkt darüber nach https://t.co/Tg1qT9mLje,1324,47,1432446650404986883,2021-08-30 20:54:29+00:00,['http://pbs.twimg.com/media/E-ESow0X0AA0Un_.jpg']
Hallo hier ist der Arzt bitte hören Sie auf ich habe schmerzen https://t.co/HHjXoJtr0i,1245,38,1392194857423286277,2021-05-11 19:08:14+00:00,"['http://pbs.twimg.com/media/E1IR1ENXsAgCwv7.jpg', 'http://pbs.twimg.com/media/E1IR1fpXoAMp3zU.jpg', 'http://pbs.twimg.com/media/E1IR122X0AUXis_.jpg']"
https://t.co/ap8AReC3sH,1208,39,1411479138700046337,2021-07-04 00:17:05+00:00,['http://pbs.twimg.com/media/E5aUy8DWYAUAMsK.jpg']
https://t.co/AuUjH6xB71,1190,129,1438582224392175617,2021-09-16 19:15:04+00:00,['http://pbs.twimg.com/ext_tw_video_thumb/1438582191601111040/pu/img/Bil7QwtycU5LrDFH.jpg']
Zum Glück konnte er mit 15 loyalen Freunden die Lava in den Krater zurückdrängen https://t.co/zy0JcGtp17,1173,30,1390388570381328392,2021-05-06 19:30:42+00:00,['http://pbs.twimg.com/media/E0unCRAWEAACf9k.jpg']
https://t.co/Bieq1gvcDO,1124,65,1407407636291764225,2021-06-22 18:38:23+00:00,['http://pbs.twimg.com/media/E4gdyIRX0AEU7Cq.jpg']
Es gibt 2 Arten von Twitter Usern https://t.co/F16BLJdaH4,1072,34,1411746733822992397,2021-07-04 18:00:24+00:00,['http://pbs.twimg.com/media/E5eIK_fX0AI8H2A.jpg']
https://t.co/0mf2StKbjl,1027,57,1446885100155723779,2021-10-09 17:07:44+00:00,['http://pbs.twimg.com/media/FBReUqTXsAEmjQ9.jpg']
Unser BIG PICTURE mit der Nummer 27 https://t.co/MIa46nDWK6,1013,25,1411421140250202112,2021-07-03 20:26:37+00:00,['http://pbs.twimg.com/media/E5ZgC-1XMAMhujm.jpg']
Mats Hummels wird auch ein eigentor schiessen und danach alle Sponsorenwände entglasen,1006,72,1403445040714747906,2021-06-11 20:12:27+00:00,[]
